Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Engine Size,Horsepower,Maker_Citroen,Maker_Honda,Maker_Hyundai,Maker_Kia,Maker_Mahindra,Maker_Nissan,Maker_Renault,Maker_Tata,Maker_Toyota,Maker_Volkswagen,Type_Compact SUV,Type_Compact Sedan,Type_Hatchback,Type_MPV,Type_MUV,Type_Mid Size SUV,Type_SUV,Type_Sedan,Type_Sports Car,Fuel_Diesel,Fuel_Petrol,Fuel_Petrol + CNG,Fuel_Petrol Hybrid,Transmission_4 AT,Transmission_5 MT,Transmission_6  iMT,Transmission_6 AT,Transmission_6 MT,Transmission_6 MT with iMT,Transmission_6 TC Automatic,Transmission_6 iMT,Transmission_6-Speed AT,Transmission_6-Speed DCT,Transmission_6-Speed MT,Transmission_7 DCT,Transmission_7-Speed CVT,Transmission_7-Speed DSG,Transmission_7-Speed DSG 4MOTION,Transmission_8 AT,Transmission_AMT,Transmission_CVT,Transmission_DCT,Transmission_IVT,Transmission_MT,Transmission_Single,Transmission_iMT,Drive_2 WD,Drive_2WD,Drive_4 WD,Drive_4WD,Drive_AWD,Emission Type_BS VI,Emission Type_Euro 6
-3.4809639807943094,4.375297760082725,1.1813910251807254,1.1952352071674943,-2.2738542356411293,1.1421652515626357,5.477225575051661,2.3055598444054173,-0.631659163661283,10.16,4.3752977600827245,1.9576226925597844,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-0.5326065107226267,-1.1910103846443432,-1.0179006962745591,-0.5378354397564892,-0.65771022134158,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,-0.42110610910752205,18.75,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0179006962745591,-0.5378354397564892,-0.65771022134158,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,-0.42110610910752205,20.0,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0179006962745591,-0.5378354397564892,-0.65771022134158,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,-0.42110610910752205,17.7,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0271156057219974,-0.6390366454162839,-0.3936866942530397,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,0.2707110701405499,18.2,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0271156057219974,-0.6390366454162839,-0.3936866942530397,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,0.2707110701405499,20.5,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0271156057219974,-0.6390366454162839,-0.3936866942530397,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,0.2707110701405499,19.1,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-1.1910103846443432,-1.0271156057219974,-0.6390366454162839,-0.3936866942530397,-1.0419188124935137,-2.2406831897938617,-0.7959846048649207,0.2707110701405499,19.0,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
1.4329651359918285,-1.1910103846443432,-1.0271156057219974,-0.7781883031985015,-0.08965960245411457,0.018922018619473156,-2.2406831897938617,-0.7959846048649207,2.476504974989475,19.0,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1.4329651359918285,-1.1910103846443432,-1.0271156057219974,-0.7781883031985015,-0.08965960245411457,0.018922018619473156,-2.2406831897938617,-0.7959846048649207,2.476504974989475,18.2,-1.1910103846443432,-1.3022775797518462,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
